// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B4A7C9
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
43832										1.970180	-9.221966	2.322607	0.004712	0.004177	-0.001491	-0.298825	0.148058	-0.176482	0.721259	0.090637	-0.045688	0.685188
43833										1.966946	-9.220996	2.357427	0.003722	0.004138	-0.004260	-0.295791	0.147931	-0.183909	0.721268	0.090617	-0.045691	0.685182
43834										1.970592	-9.204913	2.305798	0.003275	0.008669	0.000816	-0.293696	0.151312	-0.176562	0.721290	0.090569	-0.045678	0.685165
43835										1.943056	-9.189362	2.320577	0.003427	0.011925	-0.002566	-0.301755	0.149783	-0.176457	0.721325	0.090539	-0.045667	0.685134
43836										1.948923	-9.241211	2.305819	0.007837	0.011634	0.001986	-0.295908	0.143428	-0.175549	0.721354	0.090504	-0.045631	0.685110
43837										1.951957	-9.241867	2.272466	0.009126	0.010014	0.000888	-0.296321	0.150856	-0.180901	0.721377	0.090483	-0.045591	0.685090
43838										1.975561	-9.256320	2.293601	0.010263	0.005138	0.003174	-0.294655	0.152535	-0.177841	0.721384	0.090454	-0.045550	0.685090
43839										1.978406	-9.273748	2.277999	0.010410	0.000224	0.002691	-0.297979	0.144328	-0.184597	0.721373	0.090436	-0.045510	0.685107
43840										2.020034	-9.250864	2.334467	0.006989	-0.001489	0.001633	-0.294682	0.142751	-0.175903	0.721358	0.090402	-0.045494	0.685128
43841										2.023125	-9.268293	2.318649	0.010560	-0.000606	0.000758	-0.301438	0.145528	-0.181696	0.721345	0.090391	-0.045461	0.685145
43842										2.023301	-9.251300	2.301850	0.008136	0.007933	-0.001155	-0.296591	0.149785	-0.179114	0.721365	0.090368	-0.045440	0.685128
43843										2.047463	-9.265694	2.322706	0.005017	0.006602	-0.006806	-0.287902	0.151964	-0.171894	0.721383	0.090361	-0.045444	0.685111
43844										2.026820	-9.285137	2.304668	0.010722	0.012862	-0.006248	-0.293661	0.151029	-0.179095	0.721416	0.090363	-0.045425	0.685076
43845										1.972609	-9.237061	2.316629	0.009585	0.015696	-0.007808	-0.294575	0.144393	-0.183544	0.721463	0.090372	-0.045407	0.685028
43846										1.949019	-9.238804	2.315363	0.007608	0.015617	-0.013346	-0.299551	0.144171	-0.176953	0.721512	0.090387	-0.045420	0.684973
43847										1.919663	-9.188461	2.329599	0.011329	0.013629	-0.015425	-0.293626	0.152232	-0.181605	0.721553	0.090429	-0.045425	0.684924
43848										1.899425	-9.207795	2.311742	0.007304	0.013195	-0.008026	-0.291684	0.149851	-0.180771	0.721592	0.090425	-0.045424	0.684883
43849										1.899967	-9.207473	2.312580	0.006313	0.009069	-0.009345	-0.299559	0.144804	-0.176342	0.721618	0.090430	-0.045429	0.684855
43850										1.928647	-9.205778	2.281327	0.006914	0.001662	-0.015627	-0.285157	0.146289	-0.176117	0.721621	0.090454	-0.045469	0.684845
43851										1.957104	-9.237585	2.285411	0.005618	-0.004888	-0.011631	-0.295117	0.139478	-0.179733	0.721601	0.090469	-0.045501	0.684863
43852										1.979031	-9.234204	2.322535	0.005617	-0.006930	-0.010906	-0.297857	0.151180	-0.175899	0.721575	0.090476	-0.045539	0.684887
43853										2.007867	-9.232561	2.290883	0.004477	-0.008182	-0.011017	-0.298565	0.151247	-0.177634	0.721544	0.090485	-0.045576	0.684916
43854										2.060929	-9.228744	2.261555	0.004478	-0.006139	-0.011741	-0.293208	0.148582	-0.176556	0.721519	0.090491	-0.045619	0.684938
43855										2.037720	-9.247308	2.277332	0.005621	-0.000800	-0.013078	-0.299949	0.140135	-0.183403	0.721513	0.090509	-0.045652	0.684940
43856										2.063158	-9.244778	2.280010	0.000911	0.001146	-0.013766	-0.294888	0.142513	-0.178680	0.721519	0.090506	-0.045706	0.684931
43857										2.036472	-9.262511	2.330041	0.004332	0.004906	-0.013430	-0.295430	0.144782	-0.174799	0.721533	0.090519	-0.045737	0.684912
43858										2.037650	-9.245410	2.312831	0.004031	0.010653	-0.011015	-0.296620	0.146421	-0.176998	0.721568	0.090514	-0.045761	0.684874
43859										2.014055	-9.247276	2.311220	0.007299	0.013201	-0.008021	-0.293117	0.145550	-0.183065	0.721607	0.090516	-0.045754	0.684833
43860										2.014593	-9.230184	2.294555	0.009429	0.018582	-0.006588	-0.293390	0.147165	-0.181036	0.721664	0.090514	-0.045735	0.684775
43861										1.966482	-9.217543	2.273096	0.005705	0.018526	-0.003785	-0.288135	0.140937	-0.172667	0.721720	0.090494	-0.045712	0.684720
43862										1.993939	-9.215992	2.242279	0.011403	0.016624	-0.000323	-0.301012	0.148189	-0.177234	0.721766	0.090478	-0.045667	0.684676
43863										1.968972	-9.251461	2.276579	0.007982	0.010820	0.000065	-0.295725	0.152017	-0.188623	0.721794	0.090456	-0.045632	0.684652
43864										1.968641	-9.251259	2.277686	0.011402	0.010496	0.001853	-0.299706	0.139371	-0.183291	0.721816	0.090434	-0.045586	0.684635
43865										1.971448	-9.285382	2.280074	0.010567	0.007581	-0.002122	-0.295638	0.140045	-0.177403	0.721832	0.090430	-0.045554	0.684621
43866										1.992805	-9.248476	2.282493	0.013151	0.004342	-0.004310	-0.296245	0.146884	-0.186340	0.721841	0.090437	-0.045530	0.684612
43867										2.026773	-9.315580	2.254106	0.009580	0.005497	-0.004165	-0.290967	0.151641	-0.179690	0.721852	0.090437	-0.045511	0.684602
43868										2.024065	-9.280883	2.253967	0.009584	0.011626	-0.006338	-0.293854	0.141773	-0.182771	0.721881	0.090437	-0.045498	0.684572
43869										2.000203	-9.299398	2.270562	0.009897	0.020180	-0.013820	-0.297317	0.145898	-0.179585	0.721945	0.090466	-0.045494	0.684501
43870										1.925824	-9.237691	2.227896	0.009744	0.021013	-0.011885	-0.305876	0.147928	-0.178590	0.722012	0.090481	-0.045489	0.684428
43871										1.920125	-9.201923	2.262317	0.010053	0.019352	-0.015744	-0.290009	0.148168	-0.178324	0.722074	0.090518	-0.045493	0.684358
43872										1.920721	-9.218141	2.281463	0.012177	0.016565	-0.011411	-0.298059	0.145767	-0.178875	0.722123	0.090542	-0.045483	0.684304
43873										1.890942	-9.184545	2.313466	0.011496	0.006687	-0.015143	-0.295605	0.150396	-0.179734	0.722141	0.090586	-0.045494	0.684279
43874										1.920097	-9.182749	2.282329	0.004809	-0.003718	-0.017033	-0.294234	0.146200	-0.173034	0.722126	0.090610	-0.045552	0.684287
43875										1.918135	-9.164676	2.299496	0.010197	-0.003952	-0.009705	-0.292725	0.145285	-0.176158	0.722106	0.090634	-0.045560	0.684305
43876										1.949913	-9.197393	2.269346	0.003206	-0.004522	-0.010630	-0.296356	0.139980	-0.178418	0.722088	0.090631	-0.045602	0.684321
43877										1.926496	-9.216065	2.284980	0.003054	0.002440	-0.010871	-0.299783	0.136638	-0.177834	0.722094	0.090631	-0.045632	0.684313
43878										2.002532	-9.276927	2.329348	0.001761	0.006103	-0.010502	-0.294961	0.142794	-0.173417	0.722118	0.090618	-0.045667	0.684287
43879										1.982595	-9.279799	2.293099	0.006319	0.007039	-0.008598	-0.290739	0.142937	-0.195917	0.722137	0.090621	-0.045673	0.684266
43880										1.983558	-9.279480	2.293557	0.000932	0.005229	-0.015199	-0.284753	0.143709	-0.170129	0.722155	0.090621	-0.045727	0.684243
43881										1.984482	-9.312552	2.329434	0.004660	-0.000840	-0.015819	-0.301534	0.146267	-0.174862	0.722151	0.090645	-0.045772	0.684241
43882										2.007419	-9.258782	2.313223	0.004815	-0.003714	-0.017024	-0.291278	0.153254	-0.174932	0.722138	0.090669	-0.045830	0.684248
43883										2.009281	-9.275024	2.331113	-0.000415	-0.006356	-0.025551	-0.292669	0.146270	-0.180197	0.722121	0.090710	-0.045932	0.684254
43884										1.981280	-9.208035	2.326220	0.002849	-0.003799	-0.022553	-0.293689	0.137511	-0.177093	0.722108	0.090746	-0.046016	0.684257
43885										2.013868	-9.257229	2.313833	0.009686	-0.004435	-0.018972	-0.299864	0.142475	-0.189429	0.722090	0.090800	-0.046059	0.684266
43886										2.064488	-9.218605	2.284131	0.013103	0.003422	-0.020076	-0.297955	0.150150	-0.168891	0.722100	0.090862	-0.046091	0.684245
43887										2.014177	-9.221479	2.315148	0.017504	0.007237	-0.016965	-0.291313	0.146833	-0.172381	0.722117	0.090933	-0.046087	0.684218
43888										2.039770	-9.218395	2.319567	0.022218	0.009390	-0.017710	-0.294194	0.141267	-0.175919	0.722139	0.091018	-0.046072	0.684185
43889										1.992743	-9.222104	2.316919	0.020924	0.011010	-0.016616	-0.292258	0.150721	-0.174664	0.722167	0.091100	-0.046051	0.684146
43890										1.997601	-9.222204	2.284845	0.023360	0.010652	-0.017587	-0.286750	0.143084	-0.184418	0.722193	0.091187	-0.046031	0.684108
43891										1.995511	-9.203681	2.303761	0.024346	0.008656	-0.014093	-0.291721	0.145155	-0.178153	0.722210	0.091274	-0.045992	0.684081
43892										1.993559	-9.168500	2.304727	0.020929	0.008972	-0.015880	-0.292521	0.145764	-0.173338	0.722231	0.091347	-0.045976	0.684050
43893										1.997834	-9.202088	2.308106	0.020774	0.007763	-0.013226	-0.292941	0.139455	-0.178217	0.722246	0.091418	-0.045948	0.684026
43894										2.023510	-9.165683	2.276857	0.018497	0.007292	-0.014176	-0.294223	0.143362	-0.173800	0.722263	0.091478	-0.045936	0.684001
43895										2.027639	-9.199392	2.279906	0.015905	0.008485	-0.011273	-0.295087	0.146816	-0.181869	0.722283	0.091524	-0.045917	0.683975
43896										2.028763	-9.182086	2.263781	0.017202	0.008912	-0.013083	-0.289986	0.145745	-0.180007	0.722305	0.091575	-0.045904	0.683947
43897										2.033252	-9.199137	2.248797	0.011504	0.010797	-0.016552	-0.295606	0.146422	-0.179714	0.722337	0.091622	-0.045915	0.683906
43898										2.007125	-9.166553	2.246159	0.009072	0.007070	-0.014129	-0.295635	0.143058	-0.177598	0.722356	0.091648	-0.045936	0.683881
43899										1.987301	-9.202750	2.245935	0.006793	0.008641	-0.015806	-0.293418	0.143321	-0.179008	0.722383	0.091677	-0.045963	0.683847
43900										2.012643	-9.199981	2.249175	0.006635	0.009474	-0.013878	-0.287795	0.149632	-0.179515	0.722412	0.091692	-0.045988	0.683811
43901										2.003572	-9.146560	2.299289	0.003061	0.008575	-0.013020	-0.298508	0.146772	-0.181676	0.722440	0.091698	-0.046018	0.683780
43902										2.007616	-9.164022	2.283077	-0.000990	0.010171	-0.006386	-0.297741	0.146970	-0.184111	0.722471	0.091660	-0.046043	0.683750
43903										2.007582	-9.197313	2.318656	-0.005706	0.012100	-0.007093	-0.298171	0.140531	-0.188270	0.722512	0.091613	-0.046078	0.683710
43904										1.987254	-9.200631	2.281710	-0.002285	0.007702	-0.003850	-0.299786	0.147273	-0.177632	0.722537	0.091562	-0.046102	0.683690
43905										1.987234	-9.217365	2.299151	-0.010579	0.012817	-0.005149	-0.300042	0.145372	-0.176741	0.722582	0.091490	-0.046146	0.683648
43906										1.983779	-9.216437	2.333085	-0.003586	0.013408	-0.004209	-0.297288	0.149742	-0.181614	0.722626	0.091434	-0.046169	0.683608
43907										1.966747	-9.220792	2.261890	-0.003744	0.012196	-0.001559	-0.292735	0.150372	-0.175479	0.722665	0.091375	-0.046178	0.683574
43908										1.987131	-9.234199	2.316269	-0.005860	0.008846	-0.003716	-0.296561	0.139501	-0.181238	0.722692	0.091311	-0.046212	0.683551
43909										2.014915	-9.249592	2.301828	-0.005697	0.003926	-0.004195	-0.303690	0.138363	-0.177822	0.722705	0.091257	-0.046247	0.683543
43910										2.035578	-9.263001	2.355974	-0.005696	0.001882	-0.003472	-0.294804	0.149307	-0.184637	0.722714	0.091194	-0.046287	0.683539
43911										2.036158	-9.246333	2.337767	-0.004401	0.006398	-0.006727	-0.298090	0.147097	-0.176647	0.722735	0.091152	-0.046324	0.683520
43912										2.033146	-9.228643	2.354013	-0.004562	0.009274	-0.005524	-0.297156	0.143078	-0.173644	0.722765	0.091099	-0.046359	0.683493
43913										1.981485	-9.232360	2.383057	-0.005697	0.003926	-0.004194	-0.291684	0.144392	-0.180774	0.722777	0.091045	-0.046393	0.683485
43914										2.009330	-9.231010	2.351128	0.000972	0.010269	-0.000848	-0.301751	0.149587	-0.176741	0.722808	0.090995	-0.046392	0.683460
43915										2.037039	-9.246289	2.337175	-0.003262	0.007658	-0.006609	-0.293186	0.146640	-0.178151	0.722832	0.090956	-0.046423	0.683436
43916										2.037461	-9.229521	2.319495	0.002270	0.010697	-0.002656	-0.298190	0.144058	-0.169509	0.722863	0.090917	-0.046423	0.683410
43917										2.013251	-9.248387	2.335328	0.003728	0.010294	-0.006390	-0.301074	0.145152	-0.172825	0.722893	0.090902	-0.046426	0.683379
43918										2.041172	-9.263421	2.322168	0.009580	0.013715	-0.007009	-0.297015	0.152102	-0.183662	0.722934	0.090904	-0.046413	0.683337
43919										2.014254	-9.214383	2.301720	0.009419	0.016593	-0.005804	-0.301427	0.145419	-0.182460	0.722982	0.090905	-0.046387	0.683287
43920										1.993571	-9.250644	2.302072	0.016734	0.013477	-0.007988	-0.290750	0.140372	-0.177771	0.723016	0.090936	-0.046353	0.683249
43921										1.994107	-9.233425	2.286145	0.017710	0.017615	-0.006664	-0.291946	0.147383	-0.179487	0.723064	0.090970	-0.046301	0.683197
43922										1.994003	-9.249636	2.305746	0.012835	0.018331	-0.004724	-0.299009	0.144872	-0.180789	0.723117	0.090973	-0.046263	0.683144
43923										1.942586	-9.219567	2.300997	0.015439	0.011008	-0.005450	-0.296521	0.145726	-0.184073	0.723143	0.090997	-0.046222	0.683116
43924										1.942826	-9.219167	2.302396	0.010725	0.008845	-0.004716	-0.295350	0.151532	-0.180516	0.723165	0.090997	-0.046202	0.683094
43925										1.967381	-9.199855	2.288073	0.008289	0.005112	-0.002304	-0.299686	0.143848	-0.184708	0.723173	0.090986	-0.046182	0.683088
43926										1.967397	-9.199653	2.288872	0.006990	0.004685	-0.000496	-0.294691	0.144629	-0.175313	0.723180	0.090959	-0.046165	0.683086
43927										1.994871	-9.214836	2.275591	0.005690	0.006302	0.000590	-0.290315	0.147860	-0.173917	0.723193	0.090928	-0.046141	0.683078
43928										1.994507	-9.214765	2.276198	0.004228	0.008752	0.003600	-0.300289	0.143603	-0.176571	0.723213	0.090876	-0.046115	0.683065
43929										2.025261	-9.231106	2.228414	0.003090	0.007492	0.003483	-0.295656	0.140306	-0.176115	0.723230	0.090826	-0.046089	0.683056
43930										1.989770	-9.213726	2.311510	0.002926	0.014460	0.003243	-0.297118	0.150263	-0.176304	0.723274	0.090768	-0.046062	0.683019
43931										2.017592	-9.195733	2.262074	-0.002278	0.003614	-0.002402	-0.284045	0.145072	-0.185755	0.723283	0.090720	-0.046080	0.683014
43932										2.013905	-9.194752	2.296232	-0.003741	0.008110	-0.000113	-0.305610	0.146226	-0.180138	0.723304	0.090652	-0.046094	0.683000
43933										1.989540	-9.197206	2.293493	-0.003740	0.004020	0.001330	-0.292250	0.144869	-0.175234	0.723314	0.090585	-0.046103	0.682998
43934										1.996323	-9.232681	2.260214	-0.004716	0.001926	-0.000713	-0.287824	0.150002	-0.177463	0.723319	0.090518	-0.046130	0.683000
43935										2.037403	-9.209376	2.315713	-0.002600	-0.000856	0.003614	-0.303219	0.152032	-0.176564	0.723310	0.090449	-0.046132	0.683017
43936										2.040077	-9.243919	2.316775	-0.005364	0.007303	0.006267	-0.290282	0.143079	-0.176278	0.723327	0.090354	-0.046131	0.683013
43937										2.018539	-9.280821	2.315333	-0.003902	0.006898	0.002535	-0.298313	0.149609	-0.178178	0.723346	0.090282	-0.046133	0.683002
43938										2.014724	-9.246615	2.313923	-0.001950	0.015176	0.005182	-0.291962	0.147928	-0.178395	0.723391	0.090200	-0.046115	0.682967
43939										1.965849	-9.234789	2.291153	-0.003088	0.020052	0.002901	-0.291884	0.143476	-0.183922	0.723454	0.090125	-0.046098	0.682911
43940										1.944399	-9.254951	2.272254	-0.003087	0.020053	0.002903	-0.296264	0.137952	-0.184991	0.723516	0.090045	-0.046086	0.682856
43941										1.960761	-9.233950	2.325947	0.002929	0.018554	0.001812	-0.298806	0.147557	-0.177815	0.723572	0.089996	-0.046054	0.682806
43942										1.932802	-9.218549	2.340434	0.003416	0.007873	-0.001082	-0.292466	0.148954	-0.177223	0.723594	0.089957	-0.046048	0.682787
43943										1.953368	-9.198493	2.359664	-0.000163	-0.001213	0.002647	-0.295285	0.143695	-0.185171	0.723584	0.089901	-0.046046	0.682806
43944										1.956662	-9.216187	2.343279	0.002276	0.000476	0.000960	-0.290695	0.149022	-0.181653	0.723578	0.089854	-0.046045	0.682819
43945										1.984604	-9.214830	2.311551	-0.000976	-0.002094	-0.002046	-0.299577	0.144825	-0.175097	0.723567	0.089811	-0.046063	0.682835
43946										1.987622	-9.249209	2.312957	0.000652	0.007851	0.004457	-0.294942	0.142052	-0.174793	0.723585	0.089743	-0.046046	0.682825
43947										2.015112	-9.231243	2.263783	0.004068	0.013679	0.004096	-0.300616	0.140543	-0.170681	0.723623	0.089692	-0.046008	0.682795
43948										2.014202	-9.247843	2.282468	0.007646	0.016629	0.002531	-0.294938	0.146070	-0.175053	0.723673	0.089653	-0.045966	0.682749
43949										1.985650	-9.232430	2.297497	0.008297	0.020390	0.008431	-0.293140	0.147733	-0.181426	0.723730	0.089601	-0.045890	0.682701
43950										1.956569	-9.233761	2.330226	0.004882	0.016609	0.008073	-0.296300	0.149153	-0.182452	0.723774	0.089533	-0.045837	0.682667
43951										1.955820	-9.217141	2.313074	0.003906	0.012470	0.006747	-0.295848	0.140483	-0.179808	0.723807	0.089473	-0.045791	0.682643
43952										1.955040	-9.217247	2.313309	-0.002926	0.006951	0.005304	-0.295907	0.152621	-0.175609	0.723825	0.089390	-0.045785	0.682635
43953										2.002877	-9.179426	2.282924	0.002279	0.013710	0.012408	-0.296350	0.145767	-0.178851	0.723860	0.089305	-0.045724	0.682613
43954										2.001905	-9.179524	2.283383	0.003092	0.007496	0.003496	-0.295869	0.145679	-0.178364	0.723875	0.089249	-0.045703	0.682606
43955										2.025324	-9.177248	2.286365	0.001468	0.012829	0.007716	-0.298000	0.145791	-0.183089	0.723909	0.089177	-0.045662	0.682582
43956										2.027774	-9.195044	2.270382	0.002609	0.016137	0.007119	-0.296794	0.150310	-0.182000	0.723955	0.089105	-0.045621	0.682545
43957										1.998614	-9.196459	2.302745	0.003423	0.019067	0.011096	-0.296646	0.137401	-0.175169	0.724008	0.089026	-0.045554	0.682504
43958										1.980266	-9.217676	2.249984	0.001147	0.018593	0.010135	-0.291384	0.141643	-0.184746	0.724063	0.088937	-0.045505	0.682460
43959										1.978077	-9.251207	2.286193	0.001959	0.019477	0.014833	-0.294636	0.142120	-0.179244	0.724117	0.088840	-0.045429	0.682420
43960										1.955575	-9.254956	2.249542	-0.004391	0.016512	0.021936	-0.298222	0.142603	-0.184666	0.724163	0.088692	-0.045360	0.682395
43961										1.956030	-9.306450	2.268860	-0.000811	0.017415	0.021098	-0.295957	0.140806	-0.172057	0.724209	0.088564	-0.045275	0.682369
43962										1.984565	-9.356631	2.256496	-0.002929	0.012014	0.019647	-0.291235	0.141901	-0.177995	0.724242	0.088431	-0.045214	0.682356
43963										1.960621	-9.427015	2.291284	0.003904	0.015486	0.021824	-0.299268	0.145418	-0.179700	0.724279	0.088318	-0.045113	0.682338
43964										1.943492	-9.532720	2.293468	0.004061	0.010560	0.021337	-0.298766	0.145353	-0.180698	0.724300	0.088205	-0.045023	0.682336
43965										1.967667	-9.614987	2.351795	0.009099	0.006958	0.018203	-0.297928	0.147475	-0.188241	0.724307	0.088126	-0.044926	0.682345
43966										2.023015	-9.730202	2.380389	0.016093	0.007547	0.019172	-0.294799	0.144416	-0.185032	0.724311	0.088065	-0.044807	0.682357
43967										2.032987	-9.884183	2.406048	0.026658	0.004943	0.020743	-0.293353	0.143673	-0.183659	0.724301	0.088042	-0.044644	0.682381
43968										2.081662	-9.913788	2.415767	0.032839	0.009715	0.031364	-0.292441	0.150025	-0.179012	0.724301	0.087998	-0.044422	0.682401
43969										2.104544	-9.979032	2.459149	0.035930	0.011083	0.037044	-0.293334	0.138957	-0.185015	0.724301	0.087952	-0.044164	0.682424
43970										2.119894	-9.992293	2.517935	0.037255	0.022727	0.047442	-0.296231	0.137386	-0.187327	0.724335	0.087865	-0.043857	0.682419
43971										2.129420	-10.004764	2.611328	0.036465	0.036100	0.070028	-0.295590	0.141662	-0.180830	0.724406	0.087699	-0.043454	0.682390
43972										2.157918	-9.964506	2.688013	0.028733	0.061184	0.087337	-0.291458	0.147383	-0.179481	0.724564	0.087432	-0.042994	0.682286
43973										2.124852	-9.892574	2.826577	0.025596	0.091336	0.105184	-0.292819	0.142277	-0.186884	0.724813	0.087088	-0.042443	0.682100
43974										2.060009	-9.721033	2.924522	0.034357	0.119326	0.122878	-0.293232	0.143057	-0.174834	0.725144	0.086700	-0.041775	0.681838
43975										2.006492	-9.636832	2.976412	0.053388	0.141307	0.131733	-0.295639	0.141770	-0.177337	0.725538	0.086348	-0.040981	0.681513
43976										1.897806	-9.487414	3.022123	0.078822	0.164196	0.134298	-0.292727	0.134847	-0.176076	0.725996	0.086067	-0.040071	0.681114
43977										1.846552	-9.402592	3.044935	0.112756	0.185209	0.134950	-0.295449	0.143502	-0.190917	0.726507	0.085904	-0.039015	0.680652
43978										1.692524	-9.272654	3.074038	0.139465	0.206329	0.122723	-0.296048	0.139567	-0.182956	0.727082	0.085866	-0.037891	0.680105
43979										1.438476	-9.232038	3.183527	0.173632	0.207278	0.126212	-0.291836	0.141120	-0.187329	0.727639	0.085945	-0.036634	0.679568
43980										1.108178	-9.177670	3.302123	0.202197	0.183851	0.130986	-0.292609	0.144569	-0.184477	0.728100	0.086116	-0.035293	0.679124
43981										0.816897	-9.174383	3.341954	0.235400	0.141233	0.140432	-0.293721	0.123893	-0.192235	0.728395	0.086396	-0.033850	0.678845
43982										0.476090	-9.122268	3.357795	0.269711	0.097843	0.150863	-0.299278	0.135556	-0.196391	0.728526	0.086779	-0.032307	0.678731
43983										0.302545	-9.064934	3.222390	0.300469	0.068802	0.159130	-0.280532	0.132170	-0.192526	0.728534	0.087261	-0.030660	0.678737
43984										0.196698	-9.015846	3.150253	0.325618	0.054819	0.161526	-0.293355	0.138934	-0.183530	0.728482	0.087828	-0.028937	0.678795
43985										0.204700	-9.065884	3.029658	0.335754	0.052399	0.142568	-0.291579	0.127887	-0.188250	0.728421	0.088501	-0.027246	0.678843
43986										0.370299	-9.113615	3.051947	0.339278	0.046346	0.102658	-0.291485	0.133088	-0.194994	0.728358	0.089318	-0.025691	0.678864
43987										0.482965	-9.094339	3.097748	0.333048	0.020324	0.053153	-0.299764	0.131866	-0.196574	0.728229	0.090296	-0.024359	0.678922
43988										0.399066	-9.085185	3.187119	0.329029	-0.036544	0.009186	-0.299337	0.131078	-0.192244	0.727935	0.091427	-0.023258	0.679125
43989										0.331766	-8.933831	3.302304	0.327136	-0.130301	-0.026803	-0.283364	0.132195	-0.199511	0.727339	0.092718	-0.022398	0.679617
43990										0.277033	-8.670560	3.286444	0.315723	-0.202780	-0.049680	-0.298795	0.135993	-0.196056	0.726516	0.094073	-0.021737	0.680332
43991										0.285913	-8.493771	3.229787	0.304136	-0.252840	-0.057335	-0.292219	0.133809	-0.194873	0.725531	0.095438	-0.021203	0.681210
43992										0.288602	-8.281086	3.201341	0.273639	-0.290366	-0.037298	-0.295936	0.128129	-0.190997	0.724423	0.096637	-0.020743	0.682233
43993										0.183806	-8.169231	3.304153	0.241682	-0.325915	0.002489	-0.290517	0.130992	-0.194370	0.723189	0.097607	-0.020299	0.683417
43994										0.005891	-8.179552	3.459043	0.213289	-0.343657	0.072693	-0.284595	0.139304	-0.181354	0.721877	0.098238	-0.019726	0.684729
43995										-0.137529	-8.199715	3.478911	0.189439	-0.365972	0.166054	-0.289943	0.130121	-0.200478	0.720445	0.098482	-0.018942	0.686223
43996										-0.423991	-8.120789	3.543521	0.144077	-0.401924	0.284307	-0.297860	0.131733	-0.193097	0.718850	0.098171	-0.017941	0.687964
43997										-0.873338	-8.065960	3.453219	0.087920	-0.489300	0.422787	-0.287633	0.132628	-0.191053	0.716910	0.097233	-0.016766	0.690148
43998										-1.270887	-8.064215	3.287248	0.025831	-0.619984	0.565435	-0.285111	0.133679	-0.196783	0.714479	0.095641	-0.015461	0.692916
43999										-1.550520	-8.072614	3.083575	-0.022467	-0.724981	0.690791	-0.284366	0.140798	-0.197707	0.711624	0.093503	-0.014022	0.696170
44000										-1.772311	-8.066761	2.955376	-0.071044	-0.804521	0.793748	-0.276777	0.150014	-0.199147	0.708448	0.090867	-0.012482	0.699778
44001										-2.004521	-8.085417	2.900010	-0.122059	-0.916421	0.878312	-0.282600	0.141783	-0.201722	0.704833	0.087820	-0.010969	0.703831
